STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE
47523,389238N1199681W001,NA,USGS TCF-1-1,38.9238,-119.968,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,340,Observation,Part of a nested/multi-completion well
47524,389238N1199681W002,NA,USGS TCF-1-2,38.9238,-119.968,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,260,Observation,Part of a nested/multi-completion well
47525,389238N1199681W003,NA,USGS TCF-1-3,38.9238,-119.968,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,163,Observation,Part of a nested/multi-completion well
47526,389238N1199681W004,NA,USGS TCF-1-4,38.9238,-119.968,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,140,Observation,Part of a nested/multi-completion well
47527,389238N1199681W005,NA,USGS TCF-1-5,38.9238,-119.968,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,98,Observation,Part of a nested/multi-completion well
47516,389254N1199529W001,NA,Ralph OW,38.9254,-119.953,Surveyed to a benchmark,0.1 ft.,NA,NA,El Dorado,295,Observation,Single Well
47509,389302N1199629W001,NA,Glenwood Well #3,38.9302,-119.963,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,192,Observation,Single Well
32489,389325N1199576W001,12N18E02C009M,NA,38.9325,-119.958,Unknown,Unknown,6-005.01,Tahoe South,El Dorado,76,Unknown,Unknown
15403,389333N1200702W001,13N17E35G001M,NA,38.9333,-120.07,Unknown,Unknown,NA,NA,El Dorado,168,Unknown,Unknown
13335,389370N1199599W001,12N18E02C001M,NA,38.937,-119.96,Unknown,Unknown,6-005.01,Tahoe South,El Dorado,62,Unknown,Unknown
15405,389412N1199905W001,13N18E32N002M,NA,38.9412,-119.991,Unknown,Unknown,6-005.01,Tahoe South,El Dorado,40,Residential,Unknown
47513,389420N1199910W001,NA,Lily Ln-Deep,38.942,-119.991,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,64,Observation,Part of a nested/multi-completion well
47514,389420N1199910W002,NA,Lily Ln-Shallow,38.942,-119.991,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,38,Observation,Part of a nested/multi-completion well
15406,389427N1199569W001,13N18E33R005M,NA,38.9427,-119.957,Unknown,Unknown,6-005.01,Tahoe South,El Dorado,64,Residential,Unknown
31989,389445N1199712W001,13N18E33M001M,NA,38.9445,-119.971,Unknown,Unknown,6-005.01,Tahoe South,El Dorado,203,Residential,Unknown
31990,389456N1199517W001,13N18E34M002M,NA,38.9456,-119.952,Unknown,Unknown,6-005.01,Tahoe South,El Dorado,68,Residential,Unknown
47500,389567N1199488W001,NA,Blackrock Well #1,38.9567,-119.949,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,180,Observation,Single Well
40133,389592N1199440W001,13N18E27K001M,NA,38.9592,-119.944,Unknown,Unknown,6-005.01,Tahoe South,El Dorado,116,Unknown,Unknown
