NAME_HUC12,HUC12,ECOREGION2013L3_1STCODE,STATE_MAJ_2013,PHWA_HEALTH_NDX_ER_2016,PHWA_VULN_NDX_ER_2016,PHWA_LANDSC_SUBNDX_ER_2016,PHWA_HYDRO_SUBNDX_ER_2016,PHWA_GEO_SUBNDX_ER_2016,PHWA_HAB_SUBNDX_ER_2016,PHWA_BIO_SUBNDX_ER_2016,PHWA_WQ_SUBNDX_ER_2016,PHWA_LUVLN_SUBNDX_ER_2016,PHWA_WUVLN_SUBNDX_ER_2016,PHWA_WFVLN_SUBNDX_ER_2016,PHWA_HEALTH_NDX_ER_PCT_2016,PHWA_VULN_NDX_ER_PCT_2016,PHWA_LANDSC_SUBNDX_ER_PCT_2016,PHWA_HYDRO_SUBNDX_ER_PCT_2016,PHWA_GEO_SUBNDX_ER_PCT_2016,PHWA_HAB_SUBNDX_ER_PCT_2016,PHWA_BIO_SUBNDX_ER_PCT_2016,PHWA_WQ_SUBNDX_ER_PCT_2016,PHWA_LUVLN_SUBNDX_ER_PCT_2016,PHWA_WUVLN_SUBNDX_ER_PCT_2016,PHWA_WFVLN_SUBNDX_ER_PCT_2016,PHWA_HEALTH_NDX_ST_2016,PHWA_VULN_NDX_ST_2016,PHWA_LANDSC_SUBNDX_ST_2016,PHWA_HYDRO_SUBNDX_ST_2016,PHWA_GEO_SUBNDX_ST_2016,PHWA_HAB_SUBNDX_ST_2016,PHWA_BIO_SUBNDX_ST_2016,PHWA_WQ_SUBNDX_ST_2016,PHWA_LUVLN_SUBNDX_ST_2016,PHWA_WUVLN_SUBNDX_ST_2016,PHWA_WFVLN_SUBNDX_ST_2016,PHWA_HEALTH_NDX_ST_PCT_2016,PHWA_VULN_NDX_ST_PCT_2016,PHWA_LANDSC_SUBNDX_ST_PCT_2016,PHWA_HYDRO_SUBNDX_ST_PCT_2016,PHWA_GEO_SUBNDX_ST_PCT_2016,PHWA_HAB_SUBNDX_ST_PCT_2016,PHWA_BIO_SUBNDX_ST_PCT_2016,PHWA_WQ_SUBNDX_ST_PCT_2016,PHWA_LUVLN_SUBNDX_ST_PCT_2016,PHWA_WUVLN_SUBNDX_ST_PCT_2016,PHWA_WFVLN_SUBNDX_ST_PCT_2016
Sawtooth Peak,150301010503,14,CA,0.876164386,0.024894508,0.966233221,0.696614151,0.991979929,0.849830243,NA,NA,0.031280747,0,0.043402778,59.16870416,17.27791361,97.96251019,21.67889161,85.00407498,36.33387889,NA,NA,25.10187449,32.76283619,40.42379788,0.904253493,0.021305941,0.987860436,0.746474051,0.995485409,0.887194075,NA,NA,0.031280747,0,0.032637076,78.55338691,5.212399541,98.87485649,34.60390356,91.06773823,56.14564007,NA,NA,9.529276693,15.24684271,14.92537313
Snaggletooth Mountain,150301010504,81,CA,0.833871389,0.00973521,0.93323035,0.803045356,0.965771692,0.827240688,0.640068857,NA,0.021256504,0,0.007949125999999999,38.62433862,2.733686067,80.335097,58.90652557,62.34567901,34.33628319,66.23093682,NA,6.613756614,18.8712522,19.40035273,0.918681386,0.009261307,0.968707858,0.848101677,0.980531144,0.877384864,NA,NA,0.021256504,0,0.006527415,86.52123995,3.972445465,97.15269805,68.35820896,79.47187141,53.15398887,NA,NA,8.473019518,15.24684271,9.575200918
Mohawk Spring-Chemhuevi Wash,150301010505,14,CA,0.827503199,0.026448065,0.959806194,0.728515712,0.96189543,0.849830243,0.637468417,NA,0.00989975,0,0.069444444,28.36185819,18.01140994,96.98451508,32.11083945,55.74572127,36.33387889,38.55421687,NA,19.23390383,32.76283619,46.61776691,0.904566542,0.020706357,0.981495428,0.771752424,0.977824241,0.887194075,NA,NA,0.00989975,0,0.052219321,78.78300804,5.120551091,98.39265212,41.6532721,77.84156142,56.14564007,NA,NA,7.278989667,15.24684271,16.94603904
Coffin Spring-Chemehuevi Wash,150301010506,81,CA,0.881226612,0.021242352,0.937547386,0.74075126,0.991725624,0.854882178,NA,NA,0.00331,6.95e-7,0.060413355,58.11287478,5.379188713,82.45149912,34.03880071,88.62433862,39.6460177,NA,NA,3.439153439,30.95238095,31.83421517,0.912881905,0.017640708,0.973556673,0.785732985,0.995234677,0.897003286,NA,NA,0.00331,7.62e-7,0.049608355,83.3065442,4.890929966,97.7956372,46.22273249,90.95292767,58.71985158,NA,NA,5.947187141,21.67623421,16.6934558
Turtle Mountains-Chemehuevi Wash,150301010507,81,CA,0.869298554,0.008800164000000001,0.943203157,0.693253305,0.992765946,0.847971806,NA,NA,0.005732766,0,0.020667727,52.82186949,2.469135802,84.56790123,20.63492063,89.68253968,38.40707965,NA,NA,4.05643739,18.8712522,24.33862434,0.904017043,0.007568015,0.98013817,0.747707602,0.996123721,0.892098681,NA,NA,0.005732766,0,0.016971279,78.41561424,3.55912744,98.30080367,35.01722158,91.71067738,57.39795918,NA,NA,6.475315729,15.24684271,12.62916188
Gary Wash,150301010601,14,CA,0.847471809,0.019792256,0.875452683,0.686831976,0.977772334,0.849830243,NA,NA,0.010567246,0,0.048809524,38.87530562,16.2999185,65.68867156,19.39690302,70.49714751,36.33387889,NA,NA,19.72290139,32.76283619,41.80929095,0.880457958,0.015676383,0.908278476,0.739295142,0.987064141,0.887194075,NA,NA,0.010567246,0,0.036461903,64.06429392,4.730195178,87.39380023,32.72101033,84.61538462,56.14564007,NA,NA,7.347876005,15.24684271,15.29276693
Rotten Peak-Chemehuevi Wash,150301010602,81,CA,0.852537492,0.007343862,0.912278511,0.672642021,0.970347256,0.854882178,NA,NA,0.00772,1.16e-6,0.014308426,45.5026455,1.851851852,69.31216931,17.10758377,66.93121693,39.6460177,NA,NA,4.320987654,32.62786596,21.78130511,0.889279115,0.0064908729999999994,0.943778469,0.733494517,0.982840187,0.897003286,NA,NA,0.00772,1.28e-6,0.011749347,69.52927669,3.352468427,93.82319173,31.54994259,81.23995408,58.71985158,NA,NA,6.934557979,22.96211251,11.27439724
Foothill Peak-Chemehuevi Wash,150301010603,81,CA,0.828642854,0.024021268,0.891216461,0.628758089,0.946625062,0.847971806,NA,NA,0.0307,1.58e-6,0.041335453,37.12522046,5.82010582,55.11463845,11.11111111,45.32627866,38.40707965,NA,NA,8.994708995,34.74426808,29.36507937,0.870004885,0.021105376,0.91930313,0.699505392,0.969112336,0.892098681,NA,NA,0.0294,1.74e-6,0.033942559,58.87485649,5.143513203,89.78185993,24.13318025,70.53960964,57.39795918,NA,NA,9.414466131,24.17910448,15.10907003
West Well-Chemehuevi Wash,150301010604,81,CA,0.813192406,0.082936859,0.892680177,0.595349252,0.958486159,0.827240688,0.792,NA,0.234,9.74e-6,0.014308426,32.98059965,25.48500882,56.17283951,7.407407407,55.64373898,34.33628319,91.93899782,NA,52.73368607,44.97354497,21.78130511,0.862655871,0.076272968,0.921045991,0.676216366,0.975976261,0.877384864,NA,NA,0.217,1.07e-5,0.011749347,55.70608496,10.83811711,90.26406429,19.95407577,76.23421355,53.15398887,NA,NA,22.52583238,32.58323766,11.27439724
Trampas Wash,150301010701,81,CA,0.857673486,0.008307038,0.854995592,0.762734603,0.999543804,0.813419943,NA,NA,0.00266,6.46e-8,0.022257552,48.32451499,2.116402116,31.65784832,41.62257496,95.14991182,26.63716814,NA,NA,3.262786596,25.92592593,24.86772487,0.888890142,0.006980111,0.87721222,0.811036691,0.999736003,0.867575654,NA,NA,0.00266,7.09e-8,0.018276762,69.27669346,3.398392652,76.05051665,54.92537313,95.20091848,47.8432282,NA,NA,5.832376579,17.12973594,12.76693456
Mohave Wash-Colorado River,150301010702,81,CA,0.732279038,0.081074357,0.853992927,0.642730654,0.979915636,0.806509571,0.111,1,0.126,1.2e-5,0.116969577,19.84126984,23.45679012,30.51146384,13.13932981,76.89594356,25.84070796,7.189542484,100,25.22045855,46.20811287,41.88712522,0.88829546,0.073774502,0.877459291,0.711630036,0.989716924,0.862671048,NA,1,0.125,1.31e-5,0.096514122,68.88633754,10.44776119,76.30309989,26.81974742,86.52123995,46.45176252,NA,100,14.76463835,33.82319173,20.78071183
Whipple Well,150301010706,81,CA,0.830633788,0.077902843,0.855796777,0.665044667,0.974453021,0.827240688,NA,NA,0.107200002,0,0.126508527,37.56613757,21.25220459,32.45149912,16.04938272,70.81128748,34.33628319,NA,NA,20.8994709,18.8712522,44.97354497,0.866759179,0.070515674,0.878141944,0.726293748,0.985216161,0.877384864,NA,NA,0.107200003,0,0.10434702,57.63490241,9.965556831,76.53272101,29.87370838,83.23765786,53.15398887,NA,NA,13.68541906,15.24684271,21.56142365
El Dorado Wash-Colorado River,150301010707,81,CA,0.631917708,0.211853088,0.597762853,0.645514819,0.605721604,0.32969387,0.612813105,1,0.487400116,0.11477282,0.033386328,10.58201058,80.86419753,4.497354497,13.49206349,4.144620811,2.831858407,60.34858388,100,95.23809524,91.88712522,27.42504409,0.765850881,0.209922228,0.684832291,0.751146217,0.869022624,0.524253274,NA,1,0.501683793,0.100667746,0.027415144,37.54305396,32.90470723,14.37428243,35.72904707,24.31687715,6.864564007,NA,100,95.06314581,87.14121699,14.23650976
Chesapeake Wash-Colorado River,150301010709,81,CA,0.684491123,0.17826702,0.735346191,0.558178143,0.702492195,0.426439085,NA,1,0.299115067,0.109177465,0.126508527,15.52028219,70.63492063,9.523809524,4.938271605,7.58377425,3.716814159,NA,100,88.18342152,91.62257496,44.97354497,0.783666492,0.177796078,0.777314451,0.661154029,0.88694623,0.59291775,NA,1,0.322216044,0.10682517,0.10434702,39.31113662,28.58783008,21.49253731,17.70378875,28.28932262,8.789424861,NA,100,80.50516648,87.64638347,21.56142365
Whipple Wash,150301010710,81,CA,0.799293718,0.080604777,0.835670618,0.670593604,0.961232798,0.827240688,0.701730882,NA,0.07691514,0,0.164899191,29.89417989,23.28042328,19.31216931,17.01940035,58.37742504,34.33628319,77.9956427,NA,16.31393298,18.8712522,54.58553792,0.861533852,0.069703067,0.854996695,0.736024678,0.97772917,0.877384864,NA,NA,0.07230835,0,0.136800851,55.33869116,9.781859931,55.0401837,32.1010333,77.68082664,53.15398887,NA,NA,11.80252583,15.24684271,24.24799082
Steamboat Cove-Colorado River,150301010712,81,CA,0.872261424,0.128337838,0.822963989,0.735737029,0.975365413,0.827240688,NA,1,0.263,4.4e-6,0.121739052,54.67372134,53.43915344,15.96119929,31.92239859,72.1340388,34.33628319,NA,100,83.50970018,39.85890653,43.56261023,0.898407749,0.11473145,0.844807781,0.784101945,0.985744155,0.877384864,NA,1,0.244,4.82e-6,0.100430571,75.08610792,21.26291619,40.98737084,45.510907,83.83467279,53.15398887,NA,100,27.25602755,28.70264064,21.23995408
150301020111,150301020111,14,CA,0.872630597,0.064328175,0.867307922,0.743457636,0.977772334,1,0.774615094,NA,0.045018254,0,0.14796627,56.15321923,28.19885901,58.35370823,37.73431133,70.49714751,100,72.28915663,NA,26.97636512,32.76283619,61.36919315,0.917614103,0.051933689,0.899818731,0.783573539,0.987064141,1,NA,NA,0.045018254,0,0.110782813,86.0619977,7.94489093,84.93685419,45.30424799,84.61538462,100,NA,NA,10.24110218,15.24684271,22.15843858
Piute Range,150301020112,14,CA,0.883561097,0.049449482,0.882341205,0.757194902,0.979586838,0.915121442,NA,NA,0.016007177,0,0.13234127,65.11817441,23.8793806,69.68215159,44.33577832,71.96414018,45.82651391,NA,NA,21.02689487,32.76283619,58.51670742,0.907934715,0.038512822,0.913090412,0.794288191,0.988120129,0.936240129,NA,NA,0.016505001,0,0.099033466,80.80367394,6.911595867,88.38117107,48.95522388,85.18943743,69.94434137,NA,NA,7.990815155,15.24684271,21.07921929
Hightower Well,150301020201,14,CA,0.827882505,0.081822881,0.673838031,0.742025932,0.895666059,1,NA,NA,0.106381341,0,0.139087302,28.44335778,35.94132029,4.482477588,37.40831296,19.64140179,100,NA,NA,34.800326,32.76283619,59.57620212,0.862207836,0.070325758,0.724591949,0.784958735,0.939280661,1,NA,NA,0.106630253,0,0.10434702,55.56831228,9.942594719,17.17566016,45.97014925,49.00114811,100,NA,NA,13.61653272,15.24684271,21.56142365
Town of Barnwell,150301020202,14,CA,0.903032856,0.068256474,0.898739268,0.768280882,0.945111274,1,NA,NA,0.0535,3.32e-6,0.151240079,81.09209454,29.17685412,80.19559902,49.38875306,42.21678892,100,NA,NA,27.79136104,48.8997555,61.9396903,0.925796713,0.05579544,0.927569163,0.807561344,0.968056348,1,NA,NA,0.053900000000000003,1.52e-6,0.113485401,90.14925373,8.335246843,91.61882893,53.66245695,69.62112514,100,NA,NA,10.63145809,23.65097589,22.34213548
Mail Spring,150301020203,14,CA,0.897533699,0.075740133,0.892457978,0.76390619,0.933770629,1,NA,NA,0.0057,3.8e-5,0.221478175,76.52811736,31.94784026,76.77261614,46.53626732,34.71882641,100,NA,NA,17.76691117,64.87367563,72.94213529,0.921991846,0.057144439,0.922081657,0.804429307,0.961456419,1,NA,NA,0.00608,1.75e-5,0.165338233,88.19747417,8.564867968,90.37887486,52.44546498,64.4087256,100,NA,NA,6.521239954,35.70608496,25.83237658
Town of Lanfair,150301020204,14,CA,0.897113616,0.065795214,0.93713849,0.755909722,0.921522731,0.973883521,NA,NA,0.0129,1.37e-5,0.184424603,76.28361858,28.52485738,92.90953545,43.35778321,28.76935615,56.87397709,NA,NA,20.37489813,57.94621027,67.80766096,0.922975001,0.050985404,0.961475403,0.795714526,0.954328497,0.980381578,NA,NA,0.0148,6.29e-6,0.138197957,88.81745121,7.876004592,96.16532721,49.25373134,58.8978186,82.56029685,NA,NA,7.876004592,29.96555683,24.33983927
Eagle Well-Sacramento Wash,150301020205,14,CA,0.897019357,0.09085469,0.942180356,0.75501162,0.949647533,0.941237921,NA,NA,0.00879,3.37e-5,0.263740079,76.20211899,45.55827221,94.05052975,42.86878566,44.98777506,49.5908347,NA,NA,18.90790546,64.1401793,77.09861451,0.921521073,0.068503964,0.965950904,0.793578517,0.970696319,0.955858551,NA,NA,0.0091,1.55e-5,0.196394959,87.94489093,9.644087256,96.76234214,48.70264064,72.12399541,75.25510204,NA,NA,7.187141217,34.78760046,27.50861079
150301020206,150301020206,14,CA,0.937835914,0.035629012,0.985056509,0.828336975,0.95100841,0.98694176,NA,NA,0.0635,7.52e-6,0.043402778,95.6805216,19.96740016,99.59250204,69.68215159,46.45476773,61.86579378,NA,NA,29.25835371,54.76772616,40.42379788,0.9565656,0.033885187,0.998231242,0.866352059,0.97148831,0.990190789,NA,NA,0.069,3.46e-6,0.032637076,98.04822044,6.406429392,99.6326062,74.44316877,72.81285878,85.59833024,NA,NA,11.50401837,27.04936854,14.92537313
Vontrigger Spring-Sacramento Wash,150301020207,14,CA,0.901673284,0.036455785,0.897053749,0.769324179,0.966431688,0.973883521,NA,NA,0.0034645759999999996,0,0.105902778,79.62510187,20.13039935,79.86960065,50.20374898,59.16870416,56.87397709,NA,NA,16.62591687,32.76283619,52.73023635,0.923136071,0.027782651,0.926460095,0.805238397,0.980464213,0.980381578,NA,NA,0.003713488,0,0.079634465,88.88633754,5.832376579,91.32032147,52.74397245,79.4489093,82.56029685,NA,NA,6.107921929,15.24684271,19.31113662
Signal Hill-Sacramento Wash,150301020208,14,CA,0.931815619,0.030949925,0.93204131,0.843305506,0.951915662,1,NA,NA,0.030349776,0,0.0625,94.45802771,18.66340668,91.36104319,73.75713121,47.02526487,100,NA,NA,24.77587612,32.76283619,45.23227384,0.9514718,0.025906844,0.957456718,0.876414178,0.972016304,1,NA,NA,0.030723143,0,0.046997389,97.38231917,5.602755454,95.75200918,77.10677382,73.06544202,100,NA,NA,9.483352468,15.24684271,16.39494834
Town of Bannock-Sacramento Wash,150301020209,14,CA,0.870223176,0.045739781,0.892599314,0.630708238,0.957585151,1,NA,NA,0.078191565,0,0.059027778,54.93072535,22.33088835,76.85411573,8.47595762,51.34474328,100,NA,NA,31.86634067,32.76283619,44.49877751,0.898725776,0.041606065,0.923697318,0.695777182,0.975428605,1,NA,NA,0.080431771,0,0.044386423,75.29276693,7.21010333,90.72330654,23.35246843,75.68312285,100,NA,NA,12.39954076,15.24684271,16.1423651
Piute Spring-Piute Wash,150301020301,14,CA,0.892090491,0.061073571,0.912987868,0.730385255,0.964163559,0.960825281,NA,NA,0.054525418,2.2307099999999998e-4,0.128472222,71.31214344,27.30236349,85.33007335,32.92583537,57.21271394,53.92798691,NA,NA,28.11735941,73.34963325,58.19070905,0.91663578,0.052029171,0.94185889,0.774967637,0.979144227,0.970572367,NA,NA,0.059379197,1.0257199999999999e-4,0.096605744,85.510907,7.967853042,93.47876005,42.54879449,78.64523536,79.56864564,NA,NA,10.86107922,45.28128588,20.87256028
150301020302-Piute Wash,150301020302,14,CA,0.856197523,0.045764756,0.926265016,0.699954551,0.948740281,0.849830243,NA,NA,0.0123,2.45e-5,0.125,45.06927465,22.41238794,89.73105134,22.49388753,44.49877751,36.33387889,NA,NA,20.29339853,61.9396903,57.04971475,0.890383162,0.035819378,0.953046203,0.751124047,0.970168325,0.887194075,NA,NA,0.0135,1.13e-5,0.093994778,70.14925373,6.590126292,95.20091848,35.70608496,71.75660161,56.14564007,NA,NA,7.76119403,32.8358209,20.64293915
150301020303-Piute Wash,150301020303,14,CA,0.891663299,0.046442088,0.933416541,0.886224243,0.960988179,0.947767041,0.73,NA,0.0421,2.25e-5,0.097222222,70.90464548,22.65688672,92.17603912,82.88508557,55.01222494,51.06382979,58.79518072,NA,26.40586797,61.45069275,51.26324368,0.951514735,0.039312317,0.959644103,0.908355432,0.977296247,0.960763157,NA,NA,0.0448,1.04e-5,0.07310705,97.40528129,7.026406429,95.93570608,86.52123995,77.38231917,76.83209647,NA,NA,10.21814007,32.37657865,18.87485649
Homer Mountain-Piute Wash,150301020304,14,CA,0.838775707,0.0390747,0.922610465,0.806940031,0.968246192,0.862888483,0.633193365,NA,0.042571321,0,0.074652778,33.98533007,21.02689487,88.34555827,62.999185,60.71719641,38.54337152,37.59036145,NA,26.56886716,32.76283619,47.35126324,0.919162962,0.034312864,0.950649241,0.847479119,0.981520201,0.897003286,NA,NA,0.046802821,0,0.05613577,86.84270953,6.429391504,94.83352468,68.17451206,80.45924225,58.71985158,NA,NA,10.30998852,15.24684271,17.19862227
150301020305-Piute Wash,150301020305,14,CA,0.909716282,0.020299872,0.876260981,0.762604148,1,1,NA,NA,0.015760728,0,0.045138889,86.22656887,16.38141809,66.2591687,45.96577017,100,100,NA,NA,20.94539527,32.76283619,41.07579462,0.931105529,0.017107071,0.909458759,0.814963357,1,1,NA,NA,0.017378654,0,0.033942559,92.2847302,4.845005741,87.7152698,56.11940299,100,100,NA,NA,8.03673938,15.24684271,15.10907003
Crestview Wash,150301020306,14,CA,0.8804655,0.12921085,0.819248996,0.714937728,0.987675274,1,NA,NA,0.194130566,0,0.193501984,62.75468623,65.68867156,20.78239609,28.36185819,79.95110024,100,NA,NA,45.31377343,32.76283619,69.11165444,0.905119972,0.113513177,0.861690842,0.765698786,0.993090259,1,NA,NA,0.195997404,0,0.144542127,79.24225029,21.03329506,62.89322618,39.88518944,89.25373134,100,NA,NA,20.11481056,15.24684271,24.73019518
Sacramento Springs-Piute Wash,150301020307,14,CA,0.865139303,0.076369073,0.883151029,0.614914134,0.962492048,1,NA,NA,0.177,2.31e-7,0.052083333,51.75224124,32.19233904,70.08964955,6.927465363,56.39771801,100,NA,NA,42.78728606,38.46780766,42.78728606,0.894560833,0.074738552,0.916210548,0.683032929,0.978999856,1,NA,NA,0.185,1.06e-7,0.039164491,72.92766935,10.58553387,89.09299656,21.01033295,78.46153846,100,NA,NA,19.05855339,17.52009185,15.66016073
Hacienda Wash-Piute Wash,150301020308,14,CA,0.864760775,0.104575182,0.830867825,0.650568495,0.977606782,1,NA,NA,0.166,1.23e-6,0.14796627,51.1002445,55.01222494,28.60635697,11.81744091,70.00814996,100,NA,NA,41.56479218,44.00977995,61.36919315,0.893025245,0.092947952,0.870966303,0.712511118,0.98862356,1,NA,NA,0.168,5.67e-7,0.110782813,71.91733639,16.48679679,71.57290471,26.95752009,85.510907,100,NA,NA,17.84156142,20.61997704,22.15843858
